pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Vif-mediated Degradation Of APOBEC3G R-HSA-180585,Reactome,3,50,3.61,2.11,1.27,0.10167506726068404,"PSMC2, PSMC5, SEM1",0.4008614699491224
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Reactome,3,50,3.61,2.11,1.27,0.10167506726068404,"PSMC2, PSMC5, SEM1",0.4008614699491224
Proteasome,KEGG,3,46,3.92,2.49,1.27,0.10222332567008585,"PSMC2, PSMC5, SEM1",0.4008614699491224
Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,Reactome,3,49,3.68,2.3,1.24,0.10662466254664882,"PSMC2, PSMC5, SEM1",0.40092663021970515
GABAergic synapse,KEGG,4,87,2.77,1.94,1.24,0.10743440375784691,"GNB2, GNG12, GNG5, PRKCA",0.40092663021970515
G2/M DNA Damage Checkpoint R-HSA-69473,Reactome,3,65,2.78,1.24,1.24,0.1075269992996466,"H2AX, H3-4, NSD2",0.40092663021970515
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,2,33,3.64,1.1,1.24,0.10799881397488464,"COL18A1, MMP16",0.40092663021970515
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
Hh Mutants Are Degraded By ERAD R-HSA-5362768,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
Degradation Of AXIN R-HSA-4641257,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113,Reactome,3,52,3.47,2.11,1.22,0.11074354003689008,"PSMC2, PSMC5, SEM1",0.40092663021970515
Regulation Of TP53 Degradation R-HSA-6804757,Reactome,2,33,3.64,1.13,1.22,0.11089918608164528,"MDM4, PPP2CA",0.40092663021970515
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,2,26,4.63,1.81,1.22,0.11150036260377466,"CCT5, TUBAL3",0.40092663021970515
DNA Double Strand Break Response R-HSA-5693606,Reactome,3,56,3.22,1.83,1.21,0.11240927634515457,"H2AX, H3-4, NSD2",0.40092663021970515
