pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
RNA Polymerase II Transcription R-HSA-73857,Reactome,24,941,1.53,10.27,0.65,0.25937597069373514,"BNIP3L, CAMK2A, CDK2, CNOT2, COX20, GPX2, HDAC3, LAMTOR1, LAMTOR4, LMO2, MED20, MED27, MEF2C, MLST8, POLR2C, PRKAB1, PRKAG1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, PVALB, TAF13",0.4875155179795496
Oxidative Phosphorylation,Hallmark,6,191,1.89,4.23,0.64,0.2598296991429468,"ATP5PF, ATP6V1D, ATP6V1G1, NDUFA6, NDUFS6, UQCRH",0.4875155179795496
Chromosome Maintenance R-HSA-73886,Reactome,4,110,2.19,3.82,0.64,0.2611741893370223,"CDK2, CENPA, POLD4, POLR2C",0.4880798188826395
IGF1R Signaling Cascade R-HSA-2428924,Reactome,2,52,2.31,1.18,0.64,0.26221937088550096,"FGF9, IGF1",0.4880798188826395
Unfolded Protein Response (UPR) R-HSA-381119,Reactome,3,84,2.15,2.23,0.63,0.2637010041932086,"CEBPG, EIF2S1, HSPA5",0.4880798188826395
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,Reactome,2,53,2.27,1.12,0.63,0.2644031906702299,"FGF9, IGF1",0.4880798188826395
MAPK Family Signaling Cascades R-HSA-5683057,Reactome,8,305,1.58,3.05,0.63,0.2646000483319804,"CAMK2A, DUSP6, FGF9, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.4880798188826395
Cytoprotection By HMOX1 R-HSA-9707564,Reactome,2,55,2.19,1.0,0.62,0.26812961719790923,"COX20, HDAC3",0.49256819217149783
Gastric acid secretion,KEGG,3,75,2.41,3.41,0.61,0.26965239777845096,"CAMK2A, GNAI1, KCNJ10",0.49256819217149783
HCMV Late Events R-HSA-9610379,Reactome,3,80,2.26,2.79,0.61,0.26973972428439164,"CHMP1A, CHMP2A, SNF8",0.49256819217149783
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,Reactome,2,43,2.8,2.38,0.61,0.271736827725131,"COPS6, POLR2C",0.4945610264597385
Myc Targets V1,Hallmark,6,191,1.89,4.85,0.6,0.27398918819294166,"CDK2, EIF2S1, ILF2, PSMA1, PSMA2, RPS10",0.49595976672534053
