pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Toll-like Receptor Cascades R-HSA-168898,Reactome,2,156,0.77,1.44,-0.31,0.6222465520373821,"CTSS, CTSV",0.7231684124298724
Metabolism Of Proteins R-HSA-392499,Reactome,23,1745,0.79,14.64,-0.31,0.6228908393179869,"AMELX, BACE1, CCDC59, COPS7A, CTSG, DERL1, DOLPP1, ETFB, FARSA, GNPNAT1, H2BC12, MRPL13, MRPS15, POMK, PROZ, PSMB7, RBBP5, RPL12, SERPINA10, ST6GALNAC3, UBD, UCHL1, UMOD",0.7231684124298724
Alzheimer disease,KEGG,4,319,0.75,3.3,-0.32,0.6246805711128691,"BACE1, NDUFB6, PSMB7, UQCRB",0.7231684124298724
cGMP-PKG signaling pathway,KEGG,2,161,0.75,1.74,-0.32,0.6248524651206752,"ATP1B4, EDNRB",0.7231684124298724
Signaling By WNT R-HSA-195721,Reactome,3,255,0.71,3.37,-0.33,0.630606673280395,"H2BC12, PSMB7, RBBP5",0.7240043253517285
Metabolism Of RNA R-HSA-8953854,Reactome,7,608,0.69,8.87,-0.34,0.6323051921759362,"ALKBH8, EXOSC5, MRPL13, PSMB7, RPL12, SF3A2, UPF3A",0.7240043253517285
Diabetic cardiomyopathy,KEGG,2,177,0.68,2.64,-0.34,0.6342781609705376,"NDUFB6, UQCRB",0.7240043253517285
PIP3 Activates AKT Signaling R-HSA-1257604,Reactome,3,260,0.69,3.52,-0.34,0.634886349929418,"FGFR4, LAMTOR3, PSMB7",0.7240043253517285
Generic Transcription Pathway R-HSA-212436,Reactome,10,824,0.73,8.68,-0.35,0.6375681336104877,"ATP1B4, BCL2L11, CTSV, GPRIN1, H2BC12, LAMTOR3, MSX2, PSMB7, RBBP5, TBX5",0.7240043253517285
Post-translational Protein Modification R-HSA-597592,Reactome,16,1261,0.76,9.85,-0.36,0.6421589913097019,"AMELX, COPS7A, DERL1, DOLPP1, ETFB, GNPNAT1, H2BC12, POMK, PROZ, PSMB7, RBBP5, SERPINA10, ST6GALNAC3, UBD, UCHL1, UMOD",0.7240043253517285
Pathogenic Escherichia coli infection,KEGG,2,187,0.64,3.0,-0.37,0.6436878397911046,"IL1R1, PAK2",0.7240043253517285
Epstein-Barr virus infection,KEGG,2,175,0.69,2.08,-0.38,0.6463002533597342,"BCL2L11, IFNB1",0.7240043253517285
Disorders Of Transmembrane Transporters R-HSA-5619115,Reactome,2,172,0.7,1.87,-0.38,0.6470505948339783,"DERL1, PSMB7",0.7240043253517285
Neuronal System R-HSA-112316,Reactome,4,379,0.63,5.97,-0.38,0.649285682296286,"CHRNA6, GPRIN1, KCNJ2, UBD",0.7240043253517285
Mitotic Spindle,Hallmark,2,186,0.65,2.66,-0.39,0.6503808730947459,"BCL2L11, CDC42EP2",0.7240043253517285
Thermogenesis,KEGG,2,208,0.58,4.16,-0.39,0.6518226252411332,"NDUFB6, UQCRB",0.7240043253517285
Hypoxia,Hallmark,2,191,0.63,2.82,-0.4,0.6550537426153222,"CCN1, CXCR4",0.7242609798888512
p53 Pathway,Hallmark,2,187,0.64,2.51,-0.4,0.6564298911379316,"CGRRF1, DGKA",0.7242609798888512
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,2,223,0.54,4.46,-0.43,0.6651192199495137,"H2BC12, RBBP5",0.729155154681041
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,2,174,0.69,1.56,-0.43,0.6652714704340615,"PARP10, SLC22A13",0.729155154681041
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,Reactome,4,403,0.6,5.95,-0.44,0.6689747003615045,"BCL2L11, FGFR4, PSMB7, TRIP11",0.7293570988392686
Programmed Cell Death R-HSA-5357801,Reactome,2,192,0.63,2.38,-0.44,0.6698627131333463,"BCL2L11, PSMB7",0.7293570988392686
Hemostasis R-HSA-109582,Reactome,6,517,0.7,4.05,-0.45,0.6742932461054973,"CRK, DGKA, IFNB1, ITGA3, SERPINA4, STX4",0.7317251130446045
mTORC1 Signaling,Hallmark,2,194,0.62,2.29,-0.46,0.6765049102376997,"CXCR4, PNP",0.7317251130446045
RNA Polymerase II Transcription R-HSA-73857,Reactome,10,941,0.64,10.27,-0.46,0.6786695157241498,"ATP1B4, BCL2L11, CTSV, GPRIN1, H2BC12, LAMTOR3, MSX2, PSMB7, RBBP5, TBX5",0.7317251130446045
Intracellular Signaling By Second Messengers R-HSA-9006925,Reactome,3,297,0.61,3.38,-0.48,0.6854567372127995,"FGFR4, LAMTOR3, PSMB7",0.7329684995224945
Glycolysis,Hallmark,2,194,0.62,2.03,-0.49,0.6866052704715299,"CXCR4, LCT",0.7329684995224945
Disease R-HSA-1643685,Reactome,18,1593,0.68,12.16,-0.5,0.6930023989035969,"BCL2L11, CRK, CTSG, CXCR4, DERL1, FGFR4, GPR176, H2BC12, IFNB1, IL1R1, LCT, MRPL13, MVB12A, PARP10, PSMB7, RPL12, ST6GALNAC3, TRIP11",0.7329684995224945
Mitotic Anaphase R-HSA-68882,Reactome,2,216,0.56,2.84,-0.51,0.6936600499195781,"IST1, PSMB7",0.7329684995224945
Lipid and atherosclerosis,KEGG,2,189,0.64,1.67,-0.51,0.6937270951394385,"IFNB1, SOD2",0.7329684995224945
Gene Expression (Transcription) R-HSA-74160,Reactome,11,1074,0.62,11.21,-0.51,0.6939860335088143,"ATP1B4, BCL2L11, CTSV, DDX4, GPRIN1, H2BC12, LAMTOR3, MSX2, PSMB7, RBBP5, TBX5",0.7329684995224945
Mitotic Metaphase And Anaphase R-HSA-2555396,Reactome,2,217,0.55,2.83,-0.51,0.6953235916920341,"IST1, PSMB7",0.7329684995224945
