pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Toll-like Receptor Cascades R-HSA-168898,Reactome,2,156,0.77,1.09,-0.36,0.6398286540988036,"ITGAM, TLR10",0.7663025209242861
Focal adhesion,KEGG,2,179,0.67,2.51,-0.36,0.641491911758056,"MYL9, TNN",0.7663025209242861
Alzheimer disease,KEGG,4,319,0.75,2.52,-0.36,0.6419397551540149,"BECN2, GNAQ, MAP3K5, NOX1",0.7663025209242861
Pathways of neurodegeneration,KEGG,5,402,0.75,3.11,-0.38,0.6471023031899281,"BECN2, GNAQ, HAP1, MAP3K5, NOX1",0.7663025209242861
Estrogen Response Late,Hallmark,2,190,0.63,2.98,-0.38,0.6493382163021507,"MICB, TNNC1",0.7663025209242861
Mitotic Spindle,Hallmark,2,186,0.65,2.66,-0.39,0.6503808730947459,"CDK5RAP2, NCK2",0.7663025209242861
Fatty Acid Metabolism R-HSA-8978868,Reactome,2,168,0.72,1.53,-0.39,0.6512083233330962,"ACBD7, EHHADH",0.7663025209242861
Neutrophil Degranulation R-HSA-6798695,Reactome,5,427,0.7,4.28,-0.39,0.6516204517915479,"ITGAM, MNDA, RNASE2, SIGLEC14, TRPM2",0.7663025209242861
Hypoxia,Hallmark,2,191,0.63,2.82,-0.4,0.6550537426153222,"PPP1R15A, TGFB3",0.7663025209242861
DNA Repair R-HSA-73894,Reactome,3,277,0.65,3.64,-0.4,0.6550924547034267,"COPS3, MDC1, POLR2E",0.7663025209242861
Human immunodeficiency virus 1 infection,KEGG,2,183,0.66,2.31,-0.4,0.655201958229959,"APOBEC3A, GNAQ",0.7663025209242861
Developmental Biology R-HSA-1266738,Reactome,11,919,0.72,8.11,-0.4,0.6554549644841455,"HHEX, KRT3, KRT72, KRTAP16-1, MYL9, NCK2, POLR2E, RPL11, RPL21, RPL26L1, SPINK5",0.7663025209242861
Xenobiotic Metabolism,Hallmark,2,190,0.63,2.53,-0.42,0.6612951399623268,"CRP, FMO3",0.7663025209242861
Signaling By GPCR R-HSA-372790,Reactome,7,638,0.66,7.4,-0.42,0.6626847347377709,"CCL7, GNAQ, KISS1R, KNG1, MC2R, PTH2R, TAS1R1",0.7663025209242861
Rap1 signaling pathway,KEGG,2,202,0.6,3.13,-0.43,0.6647142793797978,"GNAQ, ITGAM",0.7663025209242861
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,2,174,0.69,1.56,-0.43,0.6652714704340615,"APOC3, PARP14",0.7663025209242861
G2-M Checkpoint,Hallmark,2,190,0.63,2.3,-0.44,0.6687162547538996,"DR1, TACC3",0.7663025209242861
G Alpha (I) Signaling Events R-HSA-418594,Reactome,3,300,0.6,4.17,-0.44,0.6714658354949634,"GNAQ, KNG1, TAS1R1",0.7663025209242861
Metabolism Of RNA R-HSA-8953854,Reactome,6,608,0.59,8.87,-0.45,0.6724340386340448,"HNRNPK, POLR2E, RPL11, RPL21, RPL26L1, U2AF1",0.7663025209242861
