pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Regulated Necrosis R-HSA-5218859,Reactome,2,53,2.27,1.3,0.58,0.27961335577674834,"MLKL, TNFRSF10B",0.5637005252459246
Interferon Alpha Response,Hallmark,3,89,2.03,2.22,0.57,0.28456036802393414,"CD74, GBP2, SAMD9",0.5691207360478683
Signaling By NOTCH R-HSA-157118,Reactome,5,195,1.54,1.79,0.53,0.2983223344436652,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.5876718177456323
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,2,50,2.41,2.0,0.52,0.30008337716315925,"GBP2, IFNB1",0.5876718177456323
Coagulation,Hallmark,4,134,1.8,2.73,0.52,0.3008320019412165,"C8A, CTSV, F11, MST1",0.5876718177456323
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,5,177,1.7,3.21,0.51,0.3036425619058686,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.588599427694453
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,3,94,1.92,2.24,0.51,0.3061894341052841,"ADH7, CYP39A1, CYP3A43",0.58900562896589
Staphylococcus aureus infection,KEGG,3,81,2.23,4.35,0.48,0.31493721402177544,"FPR3, HLA-DPA1, HLA-DPB1",0.6012437722233894
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome,2,53,2.27,2.0,0.47,0.31872063099886894,"CTSL, CTSV",0.6038917218925938
tRNA Processing R-HSA-72306,Reactome,3,99,1.82,2.23,0.45,0.3260534720740784,"ADAT3, CTU1, PYDC1",0.6131751862885654
